
Ethereum,0x04DBA1194ee10112fE6C3207C0687DEf0e78baCf,Sanctioned
Ethereum,0x0128e4fccf5ef86b030b28f0a8a029a3c5397a94,Sanctioned
bsc,0xfe8dd07d11126b717290633e865c2ef57cfa34a0,Fraud
bsc,0xffc19f6e9151dbcfca6e7fa42c7739f367d79d0e,Fraud
Ethereum,0x00768bc9f9a2347579ad331e80e9b80c76f4c891,Fraud
Ethereum,0x0083a444502df7e3bb6516c0cfd92a60b6bfecd8,Fraud
Polygon,0xe1a46054be2b30a8ffd861b3236f6c3c36b5cfca,Flagged
Gnosis,0x7df5a637adcd9d3de1b2dde340b0ca96cd11f105,Flagged
Linea,0x7cecaef8dccb9fd3e61898e21ba453b8720e1af6,Flagged
Linea,0x7cecc59b4a2805b4a120b012752ccbbb54410a98,Flagged
Optimism,0x70e4e07cff24ef8bc22cbc8ca69a2af8b750c232,Flagged
